"author","doi","dataset","position","number_of_citations"
"Maik Pietzner","10.1038/s42003-023-05454-1","ng00075","middle",7
"Maja Milanovic","10.1038/s41467-020-17467-z","gse4475","middle",46
"Maja Milanovic","10.1038/s41556-020-0529-5","gse31099","middle",1
"Maja Milanovic","10.15252/embj.2019104296","gse158743","middle",2
"Malte Spielmann","10.1038/s41586-021-03208-9","gse84795","middle",2
"Manqiang Lin","10.15252/emmm.202013191","gse156544","middle",2
"Manuel Holtgrewe","10.1002/jimd.12341","nm_001690","middle",2
"Marc Bonin","10.1038/s41598-020-64431-4","gse38351","middle",8
"Marc Bonin","10.1038/s41598-020-64431-4","gse51997","middle",6
"Marc Bonin","10.1038/s41598-020-64431-4","gse55235","middle",120
"Marc Bonin","10.1038/s41598-020-64431-4","gse58173","middle",1
"Marcel A. Müller","10.1016/j.isci.2021.102151","gse148729","middle",40
"Marcel A. Müller","10.1038/s41467-021-24007-w","gse148729","last",80
"Marcel A. Müller","10.1038/s41586-020-2294-9","mt107528","middle",4
"Marcel A. Müller","10.1038/s41586-020-2294-9","mt108784","middle",2
"Marco Marklewitz","10.3390/v14051041","on158817","middle",1
"Marco Marklewitz","10.3390/v14051041","on158818","middle",1
"Marco Marklewitz","10.3390/v14051041","on186499","middle",1
"Marco Marklewitz","10.3390/v14051041","on186526","middle",1
"Marcus Mall","10.1002/eji.202048797","gse160097","middle",1
"Mareen Lüthen","10.15252/emmm.202114123","gse166555","middle",9
"Maria Han","10.1016/j.lfs.2021.119158","gse94916","middle",2
"Maria Han","10.1038/s41598-019-57108-0","gse136390","middle",1
"Maria Han","10.1038/s41598-019-57108-0","gse6269","middle",27
"Maria Han","10.1038/s41598-019-57108-0","gse94916","middle",2
"Marianne Sinn","10.1038/s41467-021-27088-9","gse93326","middle",11
"Marie Luisa Schmidt","10.1038/s41586-021-04342-0","mt108784","middle",1
"Marina Backhaus","10.1038/s41598-020-64431-4","gse38351","middle",8
"Marina Backhaus","10.1038/s41598-020-64431-4","gse51997","middle",6
"Marina Backhaus","10.1038/s41598-020-64431-4","gse55235","middle",120
"Marina Backhaus","10.1038/s41598-020-64431-4","gse58173","middle",1
"Mario Nicodemi","10.1038/s41594-020-00539-5","gse94452","middle",1
"Markus Morkel","10.1038/s41467-021-24007-w","gse148729","middle",40
"Markus Morkel","10.15252/emmm.202114123","gse166555","last",9
"Markus Ralser","10.1038/s41467-022-31492-0","up000005640","last",6
"Markus Ralser","10.1038/s41586-021-03995-1","10.6084/m9.figshare.12436517","middle",1
"Markus Ralser","10.1038/s41592-019-0638-x","pxd010529","last",1
"Markus Schick","10.1038/s41467-021-27704-8","gse44672","first",3
"Markus Schuelke","10.1002/jimd.12341","nm_001690","middle",2
"Markus Schuelke","10.1038/s41467-020-18084-6","nm_002495","middle",8
"Markus Schuelke","10.1038/s41467-021-22117-z","nm_003172","middle",5
"Markus Schuelke","10.1038/s41597-019-0161-z","srma00000000","middle",1
"Markus Schuelke","10.1073/pnas.2206324120","e-mtab-862","middle",3
"Marlene Kohlhepp","10.1016/j.immuni.2023.05.017","gse63898","middle",44
"Marlene Kohlhepp","10.1038/s41586-020-2882-8","gse125521","middle",1
"Marlene Kohlhepp","10.1038/s41586-020-2882-8","gse52509","middle",3
"Marlene Sophia Kohlhepp","10.1002/hep.32776","gse132662","middle",3
"Martin Janz","10.1038/s41431-023-01382-0","nm_198514","middle",4
"Martin Kircher","10.1038/s41592-020-0965-y","gse142696","middle",2
"Martin Kircher","10.1038/s41596-020-0333-5","gse126550","middle",2
"Martin Kircher","10.1038/s41596-020-0333-5","gse142696","middle",1
"Martin Schönlein","10.1038/s41586-021-03995-1","10.6084/m9.figshare.12436517","middle",1
"Martin Witzenrath","10.1038/s41467-021-25030-7","gse162208","last",2
"Martin Witzenrath","10.1038/s41564-023-01352-8","gse200596","middle",1
"Mateusz C. Ambrozkiewicz","10.1016/j.molcel.2020.11.037","6swa","middle",1
"Mateusz C. Ambrozkiewicz","10.1016/j.molcel.2020.11.037","nm_011119","middle",4
"Mathias Streitz","10.3389/fcell.2021.751590","gse113405","middle",1
"Matthew L. Kraushar","10.1016/j.molcel.2020.11.037","6swa","first",1
"Matthew L. Kraushar","10.1016/j.molcel.2020.11.037","nm_011119","first",4
"Matthias Wirth","10.1038/s41467-021-27704-8","gse44672","middle",3
"Maurice Reimann","10.1038/s41467-020-17467-z","gse4475","middle",46
"Maurice Reimann","10.1038/s41586-021-03995-1","10.6084/m9.figshare.12436517","middle",1
"Maurice Reimann","10.1158/2643-3230.bcd-19-0059","srr12801265","middle",1
"Max Löhning","10.1016/j.immuni.2023.01.029","gse83978","middle",4
"Max Schubach","10.1038/s41596-020-0333-5","gse126550","middle",2
"Max Schubach","10.1038/s41596-020-0333-5","gse142696","middle",1
"Max Wetzel","10.3390/cells9010186","gse138532","middle",1
"Max Zhao","10.1038/s41431-023-01382-0","nm_198514","middle",4
"Michael Bockmayr","10.1007/s00401-020-02250-7","gse70678","middle",5
"Michael Bockmayr","10.1007/s00401-020-02250-7","gse90496","middle",19
"Michael Gotthardt","10.1016/j.celrep.2020.108117","prjna579336","middle",1
"Michael Muelleder","10.1038/s41467-021-25030-7","gse162208","middle",2
"Michael Mülleder","10.1038/s41467-022-31492-0","up000005640","middle",6
"Michael Mülleder","10.1038/s41586-021-03995-1","10.6084/m9.figshare.12436517","middle",1
"Michael P. Schroeder","10.1038/s41598-023-27792-0","gse78132","middle",1
"Michael Schirner","10.1038/s41597-019-0129-z","10.5281/zenodo.1471588","middle",1
"Michael Schirner","10.1038/s41597-022-01806-4","10.18112/openneuro.ds001226","middle",1
"Michael Schmueck‐Henneresse","10.3389/fcell.2021.751590","gse113405","middle",1
"Michel G. Nivard","10.1016/j.bpsgos.2021.07.008","phs000670","middle",1
"Mihnea P. Dragomir","10.1016/j.neo.2023.100934","gse14764","middle",138
"Mihnea P. Dragomir","10.1172/jci158348","e-tabm-713","first",1
"Mina V. Petkova","10.1073/pnas.2206324120","e-mtab-862","middle",3
"Morris Baumgardt","10.1038/s41564-023-01352-8","gse200596","middle",1
"Mykola Kadobianskyi","10.1038/s41597-019-0161-z","srma00000000","first",1
"Münevver Demir","10.1002/hep.32776","gse132662","middle",3
"Münevver Demir","10.1053/j.gastro.2020.07.005","prjna540738","middle",1
"Münevver Demir","10.1097/hep.0000000000000238","prjna540738","middle",1
"Münevver Demir","10.1111/jgh.15071","prjna540738","first",1
"Nadja Ehmke","10.1038/s41431-023-01382-0","nm_198514","middle",4
"Naji El Choubassi","10.1002/jimd.12341","nm_001690","middle",2
"Nanna Monjé","10.1016/j.neo.2023.100934","gse14764","middle",69
"Naveed Ishaque","10.1038/s41590-020-00817-w","gse150305","middle",1
"Nicolas Heinemann","10.1038/s41467-021-24007-w","gse148729","middle",80
"Nicoleta Carmen Cosma","10.15252/emmm.202013659","gse153105","middle",1
"Nicoleta Carmen Cosma","10.15252/emmm.202013659","gse153180","middle",1
"Nicoleta Carmen Cosma","10.15252/emmm.202013659","gse44770","middle",27
"Nicoleta Carmen Cosma","10.15252/emmm.202013659","gse65159","middle",4
"Nils Blüthgen","10.1038/s41564-023-01352-8","gse200596","middle",1
"Nils Blüthgen","10.15252/emmm.202114123","gse166555","middle",9
"Ningfei Li","10.1016/j.biopsych.2021.04.006","10.7910/dvn/25833","first",1
"Nora Skarabis","10.1038/s41467-020-20603-4","gse140686","middle",2
"Norbert Hubner","10.1038/s41586-020-2797-4","erp123138","middle",2
"Norbert Suttorp","10.1016/j.lfs.2021.119158","gse94916","middle",2
"Norbert Suttorp","10.1038/s41467-021-25030-7","gse162208","middle",2
"Norbert Suttorp","10.1038/s41598-019-57108-0","gse136390","middle",1
"Norbert Suttorp","10.1038/s41598-019-57108-0","gse6269","middle",27
"Norbert Suttorp","10.1038/s41598-019-57108-0","gse94916","middle",2
"Oliver Peters","10.15252/emmm.202013659","gse153105","middle",1
"Oliver Peters","10.15252/emmm.202013659","gse153180","middle",1
"Oliver Peters","10.15252/emmm.202013659","gse44770","middle",27
"Oliver Peters","10.15252/emmm.202013659","gse65159","middle",4
"Oliver Peters","10.15252/msb.20199356","pxd016278","middle",2
"Olivia Stark","10.7554/elife.51243","prjeb2600","middle",2
"Pascal Schendel","10.1038/s41598-020-64431-4","gse38351","middle",8
"Pascal Schendel","10.1038/s41598-020-64431-4","gse51997","middle",6
"Pascal Schendel","10.1038/s41598-020-64431-4","gse55235","middle",120
"Pascal Schendel","10.1038/s41598-020-64431-4","gse58173","middle",1
"Patricia Silva","10.1038/s41598-023-27792-0","gse78132","middle",1
"Patrick Maschmeyer","10.1002/eji.202250162","gse160097","middle",1
"Patrı́cia Silva","10.1038/s41375-022-01751-6","gse146173","middle",4
"Paul Dembny","10.3390/cells9010186","gse138532","middle",1
"Paul Turko","10.1016/j.molcel.2020.11.037","6swa","middle",1
"Paul Turko","10.1016/j.molcel.2020.11.037","nm_011119","middle",4
"Paulina M. Strzelecka","10.1016/j.stem.2020.11.015","e-mtab-9067","middle",2
"Paulina Richter‐Pechańska","10.1038/s41586-021-03995-1","10.6084/m9.figshare.12436517","middle",1
"Peter Pennitz","10.1038/s41467-021-25030-7","gse162208","middle",2
"Peter Pennitz","10.1038/s41564-023-01352-8","gse200596","middle",1
"Petra Reinke","10.3389/fcell.2021.751590","gse113405","middle",1
"Petra Ritter","10.1038/s41597-019-0129-z","10.5281/zenodo.1471588","middle",1
"Petra Ritter","10.1038/s41597-022-01806-4","10.18112/openneuro.ds001226","middle",1
"Philip Bischoff","10.1016/j.neo.2023.100934","gse14764","middle",138
"Philip Bischoff","10.15252/emmm.202114123","gse166555","middle",9
"Philipp Enghard","10.1002/eji.202048797","gse160097","middle",1
"Philipp Jurmeister","10.1136/jitc-2020-002226","gse175699","middle",1
"Phillip Suwalski","10.1038/s41586-021-03767-x","gcst011074","middle",1
"Pèter Köertvelyessy","10.15252/msb.20199356","pxd016278","middle",2
"Radoslav Chekerov","10.15252/embj.2019104013","gse124766","middle",3
"Ralf Köhler","10.1038/s41467-021-21994-8","gse63197","middle",1
"Ralf Uecker","10.1038/s41467-021-21994-8","gse63197","middle",2
"Reiner Jumpertz von Schwartzenberg","10.1038/s41591-020-0801-z","srp229815","middle",1
"Robert Lorenz Chua","10.1038/s41467-021-24007-w","gse148729","middle",40
"Robert Schöpflin","10.1038/s41586-021-03208-9","gse84795","middle",2
"Rocio Acuna-Hidalgo","10.1038/s41467-023-38044-0","gse21687","middle",7
"Rocio Acuna-Hidalgo","10.1038/s41467-023-38044-0","gse64415","middle",8
"Rogier Versteeg","10.1158/0008-5472.can-21-1621","gse28019","last",9
"Rogier Versteeg","10.1158/0008-5472.can-21-1621","gse90805","last",3
"Rogier Versteeg","10.1158/0008-5472.can-21-1621","gse99933","last",4
"Roland Eils","10.1038/s41467-021-24007-w","gse148729","middle",40
"Roland Eils","10.1038/s41586-021-03995-1","10.6084/m9.figshare.12436517","middle",1
"Roland Eils","10.1038/s41590-020-00817-w","gse150305","middle",1
"Roland Eils","10.1158/2159-8290.cd-20-1202","gse57973","middle",2
"Roland Eils","10.1158/2159-8290.cd-20-1202","gse81547","middle",14
"Ronja Mothes","10.1038/s41467-021-21994-8","gse63197","middle",2
"Rosa Schmuck","10.15252/emmm.202013191","gse156544","middle",2
"Rusan Catar","10.1002/jmv.28450","gse161777","middle",4
"S. Momsen Reincke","10.1016/j.chom.2021.04.005","7lm8","middle",1
"S. Momsen Reincke","10.1016/j.chom.2021.04.005","7lm9","middle",1
"Salaheddine Ali","10.1016/j.cell.2020.04.018","gse84795","middle",2
"Samantha D. Praktiknjo","10.1038/s41564-023-01352-8","gse200596","middle",1
"Sandra Hermann","10.1038/s41598-020-64431-4","gse38351","middle",8
"Sandra Hermann","10.1038/s41598-020-64431-4","gse51997","middle",6
"Sandra Hermann","10.1038/s41598-020-64431-4","gse55235","middle",120
"Sandra Hermann","10.1038/s41598-020-64431-4","gse58173","middle",1
"Sandra Junglen","10.3390/v14051041","on158817","middle",1
"Sandra Junglen","10.3390/v14051041","on158818","middle",1
"Sandra Junglen","10.3390/v14051041","on186499","middle",1
"Sandra Junglen","10.3390/v14051041","on186526","middle",1
"Sandra-Maria Wienhold","10.1038/s41467-021-25030-7","gse162208","middle",2
"Sandy Bauherr","10.1038/s41467-021-21994-8","gse63197","middle",1
"Sarah Ohrndorf","10.1038/s41598-020-64431-4","gse38351","middle",8
"Sarah Ohrndorf","10.1038/s41598-020-64431-4","gse51997","middle",6
"Sarah Ohrndorf","10.1038/s41598-020-64431-4","gse55235","middle",120
"Sarah Ohrndorf","10.1038/s41598-020-64431-4","gse58173","middle",1
"Sebastian Diecke","10.1038/s41467-021-22117-z","nm_003172","middle",5
"Sebastian Stintzing","10.1186/s13073-021-00926-7","gse140973","middle",2
"Sefer Elezkurtaj","10.1038/s41467-020-14700-7","gse66270","middle",20
"Sefer Elezkurtaj","10.1038/s41467-020-14700-7","gse66271","middle",8
"Seija Lehnardt","10.3390/cells9010186","gse138532","last",1
"Shantel Marie Weinsheimer","10.1016/j.bpsgos.2021.07.008","phs000670","middle",1
"Shashwat Sahay","10.1038/s41596-020-0369-6","gse88826","middle",2
"Silvia Darb‐Esfahani","10.15252/embj.2019104013","gse124766","middle",3
"Simon Haas","10.1016/j.stem.2021.03.017","gse151333","middle",1
"Simon Haas","10.1038/s41467-023-40584-4","gse19784","middle",33
"Simon Haas","10.1182/bloodadvances.2022007714","gse122467","middle",2
"Simon Schallenberg","10.1016/j.neo.2023.100934","gse14764","middle",69
"Simon Schroeder","10.1038/s41467-021-24007-w","gse148729","middle",80
"Simon Schröder","10.1038/s41586-020-2294-9","mt107528","middle",2
"Simon Schröder","10.1038/s41586-020-2294-9","mt108784","middle",1
"Simone Schmid","10.1007/s00401-021-02377-1","gse185041","first",1
"Sofia Forslund","10.1038/s41467-020-19589-w","prjeb37249","middle",2
"Sofia K. Forslund","10.1038/s41586-020-2269-x","prjeb37249","middle",2
"Sofia K. Forslund","10.1038/s41591-022-01686-6","prjeb11532","middle",2
"Sofia K. Forslund","10.1038/s41591-022-01688-4","prjeb37249","middle",4
"Sofya Marchenko","10.1016/j.neo.2023.100934","gse14764","middle",69
"Sonja Entringer","10.1073/pnas.1820843116","gse137682","middle",1
"Sonja Entringer","10.1073/pnas.1820843116","gse137688","middle",2
"Sonja Entringer","10.1073/pnas.1820843116","gse137884","middle",1
"Sonja Entringer","10.1073/pnas.1820843116","gse80261","middle",2
"Soulafa Mamlouk","10.15252/emmm.202114123","gse166555","middle",9
"Soyoung Lee","10.1038/s41586-021-03995-1","10.6084/m9.figshare.12436517","first",1
"Soyoung Lee","10.15252/embj.2019104296","gse158743","middle",2
"Spielmann Malte","10.1242/dev.201228","10.17863/cam.87955","last",1
"Stefan Habringer","10.1038/s41467-021-27704-8","gse44672","middle",3
"Stefan Hippenstiel","10.1016/j.lfs.2021.119158","gse94916","middle",2
"Stefan Hippenstiel","10.1038/s41598-019-57108-0","gse136390","middle",1
"Stefan Hippenstiel","10.1038/s41598-019-57108-0","gse6269","middle",27
"Stefan Hippenstiel","10.1038/s41598-019-57108-0","gse94916","middle",2
"Stefan Mundlos","10.1002/jimd.12341","nm_001690","middle",2
"Stefan Mundlos","10.1016/j.cell.2020.04.018","gse84795","middle",2
"Stefan Mundlos","10.1038/s41586-021-03208-9","gse84795","middle",4
"Stefan Peidli","10.1038/s41564-023-01352-8","gse200596","middle",1
"Stefan Peidli","10.15252/emmm.202114123","gse166555","middle",9
"Stefan Roepke","10.1038/s41398-023-02705-x","10.17863/cam.23511","middle",1
"Stefan Schwartz","10.1038/s41598-023-27792-0","gse78132","middle",1
"Stefanos A. Bamopoulos","10.1038/s41375-020-0839-4","gse146173","first",8
"Stephan Ripke","10.1016/j.bpsgos.2021.07.008","phs000670","middle",1
"Stephan Ripke","10.1038/s41398-023-02705-x","10.17863/cam.23511","middle",1
"Stephan Ripke","10.1038/s41467-020-20603-4","gse140686","middle",2
"Stephan Ripke","10.1038/s41586-021-03767-x","gcst011074","middle",1
"Stephan Ripke","10.1038/s41588-021-00973-1","phs000101","middle",6
"Stephan Ripke","10.1038/s41588-021-00973-1","phs000168","middle",18
"Stephan Ripke","10.1038/s41588-021-00973-1","phs000351","middle",6
"Stephan Schlickeiser","10.3389/fcell.2021.751590","gse113405","middle",1
"Susanne Erk","10.1038/s41467-020-18367-y","phs000930","middle",8
"Susanne Herwig","10.1038/s41564-023-01352-8","gse200596","middle",1
"Susanne Holzhauer","10.1002/ajh.25753","nm_000298","middle",12
"Sven Liebig","10.1038/s41598-023-27792-0","gse78132","first",1
"Swapnil Awasthi","10.1038/s41398-023-02705-x","10.17863/cam.23511","middle",1
"Swapnil Awasthi","10.1038/s41467-020-20603-4","gse140686","middle",2
"Szandor Simmons","10.1038/s41564-023-01352-8","gse200596","middle",1
"Sören Lukassen","10.15252/embj.2019103209","e-mtab-3482","middle",1
"Tamara J. Blätte","10.1182/bloodadvances.2020003230","gse158596","middle",1
"Theres Schaub","10.1016/j.molcel.2020.11.037","6swa","middle",1
"Theres Schaub","10.1016/j.molcel.2020.11.037","nm_011119","middle",4
"Theresa Maria Holtmann","10.1002/hep.32776","gse132662","middle",3
"Thi Minh Tam Ta","10.1038/s41586-022-04434-5","phs000021","middle",14
"Thiemo Sprink","10.1016/j.molcel.2020.11.037","6swa","middle",1
"Thiemo Sprink","10.1016/j.molcel.2020.11.037","nm_011119","middle",4
"Thiemo Sprink","10.1038/s41467-023-42085-w","emd-10840","middle",2
"Thiemo Sprink","10.1038/s41467-023-42085-w","emd-15636","middle",1
"Thiemo Sprink","10.1038/s41467-023-42085-w","emd-3420","middle",1
"Thomas Burmeister","10.1038/s41598-023-27792-0","gse78132","middle",1
"Thomas Häupl","10.1038/s41598-020-64431-4","gse38351","last",8
"Thomas Häupl","10.1038/s41598-020-64431-4","gse51997","last",6
"Thomas Häupl","10.1038/s41598-020-64431-4","gse55235","last",120
"Thomas Häupl","10.1038/s41598-020-64431-4","gse58173","last",1
"Thomas Meyer","10.1038/s41588-021-00973-1","phs000101","middle",6
"Thomas Meyer","10.1038/s41588-021-00973-1","phs000168","middle",18
"Thomas Meyer","10.1038/s41588-021-00973-1","phs000351","middle",6
"Thomas Sell","10.15252/emmm.202114123","gse166555","middle",9
"Thomas Wallach","10.3390/cells9010186","gse138532","first",1
"Till Sörensen","10.1038/s41598-020-64431-4","gse38351","middle",8
"Till Sörensen","10.1038/s41598-020-64431-4","gse51997","middle",6
"Till Sörensen","10.1038/s41598-020-64431-4","gse55235","middle",120
"Till Sörensen","10.1038/s41598-020-64431-4","gse58173","middle",1
"Tilmann Kallinich","10.1002/eji.202048797","gse160097","middle",1
"Tobias M. Brunner","10.1016/j.immuni.2023.01.029","gse83978","middle",4
"Tom Aschman","10.1038/s41467-021-24007-w","gse148729","middle",40
"Tomasz Żemojtel","10.15252/embj.2019104013","gse124766","middle",3
"Tristram A.  Lett","10.1038/s41467-020-18367-y","phs000930","middle",8
"Tzu‐Ting Wei","10.15252/emmm.202114123","gse166555","middle",9
"Ulf Landmesser","10.1038/s41586-021-03767-x","gcst011074","middle",1
"Ulrich Keller","10.1038/s41467-021-27704-8","gse44672","last",3
"Uwe Kornak","10.1002/jimd.12341","nm_001690","middle",2
"Uwe Pelzer","10.1038/s41467-021-27088-9","gse93326","middle",11
"Vadim Demichev","10.1038/s41467-022-31492-0","up000005640","first",6
"Vadim Farztdinov","10.1038/s41467-021-25030-7","gse162208","middle",2
"Vassily Trubetskoy","10.1016/j.bpsgos.2021.07.008","phs000670","middle",1
"Vassily Trubetskoy","10.1038/s41467-020-20603-4","gse140686","first",2
"Veronika Schulze","10.1038/s41598-023-27792-0","gse78132","middle",1
"Victor Corman","10.1038/s42003-022-03421-w","gu190215","middle",16
"Victor Corman","10.1038/s42003-022-03421-w","kr559017","middle",2
"Victor M Corman","10.1016/j.jcv.2022.105222","mt270112","middle",2
"Victor M. Corman","10.1038/s41467-021-24007-w","gse148729","middle",80
"Victor M. Corman","10.1038/s41586-020-2294-9","mt107528","middle",4
"Victor M. Corman","10.1038/s41586-020-2294-9","mt108784","middle",2
"Victor M. Corman","10.1038/s41586-021-04342-0","mt108784","middle",1
"Victor Max Corman","10.1128/mbio.02755-20","mn433617","middle",2
"Victor Tarabykin","10.1016/j.molcel.2020.11.037","6swa","middle",1
"Victor Tarabykin","10.1016/j.molcel.2020.11.037","nm_011119","middle",4
"Walter Birchmeier","10.1038/s41467-020-14700-7","gse66270","last",20
"Walter Birchmeier","10.1038/s41467-020-14700-7","gse66271","last",8
"Wei Chen","10.1038/s41467-020-14700-7","gse66270","middle",20
"Wei Chen","10.1038/s41467-020-14700-7","gse66271","middle",8
"Werner Stenzel","10.1038/s41467-021-22117-z","nm_003172","middle",5
"Wesley Thompson","10.1016/j.bpsgos.2021.07.008","phs000670","middle",1
"Wing-Lee Chan","10.1038/s41586-021-03208-9","gse84795","middle",4
"Wolfgang D. Schmitt","10.1016/j.neo.2023.100934","gse14764","middle",69
"Wolfgang Poller","10.1038/s41586-021-03767-x","gcst011074","middle",1
"Xiaomin Wang","10.1038/s41586-021-03767-x","gcst011074","middle",1
"Yana Ruchiy","10.15252/emmm.202114123","gse166555","middle",9
"Yunpeng Wang","10.1016/j.bpsgos.2021.07.008","phs000670","middle",1
"Zehra Karadeniz","10.1038/s41586-021-03767-x","gcst011074","middle",1
"Łukasz Szyrwiel","10.1038/s41467-022-31492-0","up000005640","middle",6
