"doi_auto_current","charite_data_id_or_acc_nr_merged"
"10.1073/pnas.2026558118","mw582527"
"10.2337/db20-0910","gse40589"
"10.1371/journal.pone.0232666","//osf.io/qp5cm"
"10.1038/s41437-020-0331-y","mt136926"
"10.1038/s41598-023-40007-w","10.7910/dvn/t5xcqa"
"10.1038/s41564-023-01433-8","pxd031911"
"10.1038/s42003-023-05522-6","//osf.io/u47mj"
"10.1016/j.cell.2023.09.004","10.5281/zenodo.8303170"
"10.1038/s41597-023-02153-8","10.13026/nqsf-pc74"
"10.1186/s13059-021-02306-1","10.5281/zenodo.4454489"
"10.1126/sciimmunol.ade7953","e-mtab-12352"
"10.1038/s41477-023-01407-y","10.2210/pdb8auv/pdb"
"10.1126/science.aba9411","prjeb36265"
"10.1053/j.gastro.2020.11.010","10.6084/m9.figshare.12173232"
"10.1038/s41589-023-01326-1","emd-14776"
"10.1084/jem.20210012","10.24433/co.5442144"
"10.1038/s41467-023-38747-4","gse174571"
"10.3389/fimmu.2023.1086433","183473"
"10.1002/bimj.202200061","10.5281/zenodo.5615540"
"10.1007/s11060-023-04319-1","gse220748"
"10.1038/s41467-023-36333-2","gse190732"
"10.1016/j.immuni.2023.04.014","gse199851"
"10.1371/journal.pone.0283889","10.5281/zenodo.7386450"
"10.1038/s41598-020-58668-2","gse107998"
"10.1126/sciimmunol.abh0891","gse148163"
"10.1126/science.abh1139","10.2210/pdb7lop/pdb"
"10.1073/pnas.2306761120","gse210977"
"10.3389/fimmu.2021.603649","10.6084/m9.figshare.5326814"
"10.1038/s41392-023-01634-x","gse237749"
"10.1093/cvr/cvad154","pxd043601"
"10.1098/rsos.210389","10.6084/m9.figshare.16573481"
"10.1038/s41564-022-01304-8","10.6069/s9b3-zz35"
"10.1016/j.isci.2023.107225","gse234964"
"10.3390/medicina57070646","//osf.io/5d8vu"
"10.1002/mrm.28885","//osf.io/nghfs"
"10.1159/000520082","10.6084/m9.figshare.14573082"
"10.1038/s41467-021-23472-7","10.17881/th9v-xt85"
"10.15252/emmm.202216225","srx18724982"
"10.1038/s41598-023-38027-7","emd-17163"
"10.1183/13993003.01470-2021","gse168499"
"10.1158/2643-3230.bcd-22-0082","egad00001007922"
"10.1093/nar/gkaa1180","e-mtab-8746"
"10.1016/j.celrep.2020.01.070","mn900952"
"10.1371/journal.pntd.0009311","mw383507"
"10.1080/21505594.2021.1959808","prjeb39129"
"10.1096/fj.202301495r","gse234839"
"10.1038/s41586-020-3018-x","gse158731"
"10.1038/s41467-023-38580-9","10.5281/zenodo.7808069"
"10.1038/s41591-020-0801-z","prjna589622"
"10.1038/s42003-020-01167-x","e-mtab-8508"
"10.1038/s41598-019-56416-9","10.17632/sj5cms7fky"
"10.1038/s41467-020-16641-7","egas00001003964"
"10.1186/s13023-021-01986-z","10.6084/m9.figshare.15179134"
"10.1038/s41598-021-95645-9","//osf.io/qakbv"
"10.1016/j.mcpro.2021.100135","pxd027265"
"10.1371/journal.pbio.3001149","10.5281/zenodo.4498214"
"10.1073/pnas.2108157118","10.5281/zenodo.5203142"
"10.3389/fpsyt.2021.770282","//github.com/agschlagenhauf/qmri/tree/main/data"
"10.1038/s41467-021-27478-z","prjeb31628"
"10.1016/j.molcel.2021.02.006","pxd021374"
"10.1007/s11948-020-00234-0","//osf.io/cq3s9"
"10.3390/ijms21238898","gse161585"
"10.1016/j.jmoldx.2020.07.006","egas00001004275"
"10.1080/13506285.2021.1915902","//osf.io/dkx6y"
"10.1371/journal.pone.0249813","10.5281/zenodo.4135394"
"10.1038/s41540-023-00287-4","e-mtab-9701"
"10.1007/s00247-021-05109-5","10.5281/zenodo.4906565"
"10.3390/vetsci10050314","prjna945807"
"10.3390/cancers13225680","gse111079"
"10.1182/blood.2022017230","gse126595"
